team1,seed1,team2,seed2,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff,region1,region2
Liberty,12,Kansas,7,0.3999999999999915,-6.399999999999999,-3.9000000000000057,6.739999999999999,-15.06,-8.66,-3.7200000000000006,-6.429999999999993,10.579999999999998,east,west
Liberty,12,St. John's (NY),2,-2.1000000000000085,-3.000000000000007,-3.5999999999999943,0.8599999999999994,-10.16,-9.4,-3.959999999999999,-3.510000000000005,14.010000000000005,east,west
Liberty,12,Mount St. Mary's,16,6.199999999999989,-6.899999999999999,-3.299999999999997,13.12,6.05,6.87,9.32,14.570000000000007,-9.620000000000005,east,east
Liberty,12,Baylor,9,0.09999999999999432,-6.300000000000004,-0.7999999999999972,6.38,-14.85,-8.81,-2.26,-12.019999999999996,2.989999999999995,east,east
Liberty,12,Akron,13,-8,-11.600000000000001,-0.9000000000000057,3.619999999999999,3.1000000000000005,-7.21,11.870000000000001,0.3100000000000023,-7.670000000000002,east,east
Liberty,12,VCU,11,-0.5,0.5,-0.20000000000000284,-1.0600000000000005,-2.4,-3.59,-3,-3.980000000000004,5.480000000000004,east,east
Liberty,12,Montana,14,-0.30000000000001137,-10.000000000000007,-1.2000000000000028,9.74,0.74,-0.34999999999999987,9.93,2.9099999999999966,-11.689999999999998,east,east
Liberty,12,Vanderbilt,10,-3,-11.899999999999999,-1.7999999999999972,8.84,-11.45,-10.440000000000001,3.7600000000000002,-7.679999999999993,0.5400000000000063,east,east
Liberty,12,Robert Morris,15,-0.30000000000001137,-7.500000000000007,-2.700000000000003,7.27,4.5200000000000005,0.77,7.61,6.960000000000008,-5.8700000000000045,east,east
Liberty,12,SIU-Edwardsville,16,4,-3.1999999999999957,-1.7000000000000028,7.199999999999999,7.1899999999999995,7.82,6.36,13,-7.819999999999993,east,midwest
Liberty,12,Georgia,9,1,-6.399999999999999,-4.599999999999994,7.43,-12.24,-5.43,-3.4399999999999995,-5.3700000000000045,5.939999999999998,east,midwest
Liberty,12,McNeese State,12,-0.6000000000000085,-1.1000000000000014,-1.5999999999999943,0.46999999999999886,1.03,-0.9999999999999998,0.41999999999999993,-2.1899999999999977,-1.5799999999999983,east,midwest
Liberty,12,High Point,13,-5.6000000000000085,-5.899999999999999,-3.299999999999997,0.2400000000000002,4.5200000000000005,-4.569999999999999,7.5200000000000005,-4.819999999999993,-9.569999999999993,east,midwest
Liberty,12,Xavier,11,-1.4000000000000057,-8.000000000000007,-5.5,6.52,-9.65,-8.84,1.6500000000000004,-6.069999999999993,2.950000000000003,east,midwest
Liberty,12,Troy,14,2.6999999999999886,-2.500000000000007,-5.200000000000003,5.23,1.4000000000000001,2.9000000000000004,1.67,5.260000000000005,-1.75,east,midwest
Liberty,12,Utah State,10,-4.300000000000011,-7.100000000000001,-3.299999999999997,2.7699999999999996,-6.26,-9.940000000000001,4.04,-10.560000000000002,-2.6899999999999977,east,midwest
Liberty,12,Wofford,15,1.2999999999999972,-6.899999999999999,-1.5,8.18,1.7499999999999998,2.27,6.35,1.4399999999999977,-11.510000000000005,east,midwest
Liberty,12,Alabama State,16,3.299999999999997,-9.199999999999996,-3.700000000000003,12.45,7.779999999999999,6.010000000000001,11.620000000000001,13.180000000000007,-12.540000000000006,east,south
Liberty,12,Creighton,9,1.3999999999999915,-6.600000000000001,-1.5999999999999943,7.97,-11.86,-6.909999999999999,-1.0299999999999994,-7.019999999999996,3.5799999999999983,east,south
Liberty,12,UC-San Diego,12,-3.200000000000003,1.2999999999999972,-0.9000000000000057,-4.469999999999999,1.0799999999999998,-2.5199999999999996,-1.8800000000000008,-2.260000000000005,3.6500000000000057,east,south
Liberty,12,Yale,13,-5.1000000000000085,-6.800000000000004,-0.09999999999999432,1.75,2.4000000000000004,-3.91,5.5,-1.7000000000000028,-4.849999999999994,east,south
Liberty,12,UNC,11,-4.6000000000000085,-11.899999999999999,-5.299999999999997,7.26,-12.64,-13.270000000000001,3.84,-9.400000000000006,2.8200000000000074,east,south
Liberty,12,Lipscomb,14,-2.700000000000003,-4.399999999999999,-5.200000000000003,1.6799999999999997,3.6100000000000003,0.28,3.01,0.5300000000000011,-4.450000000000003,east,south
