"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"242",2,"Oregon",15,"Portland State",78,40,"Oregon","region4",2019
"243",1,"Mississippi State",9,"Clemson",85,61,"Mississippi State","region4",2019
"244",5,"Arizona State",4,"Miami (FL)",57,55,"Arizona State","region4",2019
"245",6,"South Dakota State",3,"Syracuse",75,64,"South Dakota State","region4",2019
"246",10,"Indiana",2,"Oregon",68,91,"Oregon","region4",2019
"247",1,"Mississippi State",5,"Arizona State",76,53,"Mississippi State","region4",2019
"248",6,"South Dakota State",2,"Oregon",53,63,"Oregon","region4",2019
"249",1,"Mississippi State",2,"Oregon",84,88,"Oregon","region4",2019
"250",1,"Baylor",2,"Oregon",72,67,"Baylor","final four",2019
"251",1,"Notre Dame",2,"UConn",81,76,"Notre Dame","final four",2019
"252",1,"Baylor",1,"Notre Dame",82,81,"Baylor","championship",2019
"253",1,"UConn",16,"Saint Francis (PA)",140,52,"UConn","region1",2018
"254",8,"Miami (FL)",9,"Quinnipiac",72,86,"Quinnipiac","region1",2018
"255",5,"Duke",12,"Belmont",72,58,"Duke","region1",2018
"256",4,"Georgia",13,"Mercer",68,63,"Georgia","region1",2018
"257",6,"South Florida",11,"Buffalo",79,102,"Buffalo","region1",2018
"258",3,"Florida State",14,"Little Rock",91,49,"Florida State","region1",2018
"259",7,"California",10,"Virginia",62,68,"Virginia","region1",2018
"260",2,"South Carolina",15,"North Carolina A&T",63,52,"South Carolina","region1",2018
"261",1,"UConn",9,"Quinnipiac",71,46,"UConn","region1",2018
"262",5,"Duke",4,"Georgia",66,40,"Duke","region1",2018
"263",11,"Buffalo",3,"Florida State",86,65,"Buffalo","region1",2018
"264",10,"Virginia",2,"South Carolina",56,66,"South Carolina","region1",2018
"265",1,"UConn",5,"Duke",72,59,"UConn","region1",2018
"266",11,"Buffalo",2,"South Carolina",63,79,"South Carolina","region1",2018
"267",1,"UConn",2,"South Carolina",94,65,"UConn","region1",2018
"268",1,"Mississippi State",16,"Nicholls State",95,50,"Mississippi State","region2",2018
"269",8,"Syracuse",9,"Oklahoma State",57,84,"Oklahoma State","region2",2018
"270",5,"Maryland",12,"Princeton",77,57,"Maryland","region2",2018
"271",4,"NC State",13,"Elon",62,35,"NC State","region2",2018
"272",6,"Iowa",11,"Creighton",70,76,"Creighton","region2",2018
"273",3,"UCLA",14,"American",71,60,"UCLA","region2",2018
"274",7,"Arizona State",10,"Nebraska",73,62,"Arizona State","region2",2018
"275",2,"Texas",15,"Maine",83,54,"Texas","region2",2018
"276",1,"Mississippi State",9,"Oklahoma State",71,56,"Mississippi State","region2",2018
"277",5,"Maryland",4,"NC State",60,74,"NC State","region2",2018
"278",11,"Creighton",3,"UCLA",64,86,"UCLA","region2",2018
"279",7,"Arizona State",2,"Texas",65,85,"Texas","region2",2018
"280",1,"Mississippi State",4,"NC State",71,57,"Mississippi State","region2",2018
"281",3,"UCLA",2,"Texas",84,75,"UCLA","region2",2018
"282",1,"Mississippi State",3,"UCLA",89,73,"Mississippi State","region2",2018
"283",1,"Louisville",16,"Boise State",74,42,"Louisville","region3",2018
"284",8,"Marquette",9,"Dayton",84,65,"Marquette","region3",2018
"285",5,"Missouri",12,"Florida Gulf Coast",70,80,"Florida Gulf Coast","region3",2018
"286",4,"Stanford",13,"Gonzaga",82,68,"Stanford","region3",2018
"287",6,"Oregon State",11,"Western Kentucky",82,58,"Oregon State","region3",2018
"288",3,"Tennessee",14,"Liberty",100,60,"Tennessee","region3",2018
"289",7,"Michigan",10,"Northern Colorado",75,61,"Michigan","region3",2018
