"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"843","Charlotte","AAC",16,15,64.5,63,69,1.52,2.13,0.48,3.17,89.7,85.2,2022
"844","California Baptist","WAC",28,4,80.3,71.3,77.1,9,-5.67,11.54,-8.22,95.88,92.45,2022
"845","Rutgers","Big Ten",8,24,65.8,73,67.7,-7.16,10.42,4.49,-1.22,96.11,92.99,2022
"846","UTSA","AAC",18,15,64.6,63.5,72.3,1.15,1.97,-0.17,3.29,91.46,87.21,2022
"847","Maine","AEC",24,10,64.1,57,65.5,7.06,-3.98,-1.4,4.48,95.12,90.62,2022
"848","UC-Irvine","Big West",23,9,63,55.7,68.4,7.31,-4.46,-3.33,6.18,91.14,86.79,2022
"849","Chattanooga","Southern",28,5,64.2,54.5,70.6,9.76,-5.36,-5,7.8,95.64,90.08,2022
"850","Duquesne","A-10",21,13,69,67,69.6,2.03,0.62,5.29,-2.64,97.36,94.02,2022
"851","Northern Arizona","Big Sky",25,10,75.3,70.1,75.3,5.26,-1.32,10.49,-7.99,98.55,95.46,2022
"852","Old Dominion","Sun Belt",22,10,64,60.3,69.5,3.72,-0.73,-3.83,6.22,85.06,82.11,2022
"853","Pittsburgh","ACC",8,24,60.8,69.1,73.9,-8.31,10.55,-0.18,2.41,91.76,89.9,2022
"854","Pacific","WCC",19,15,71.3,69.9,74.4,1.44,2.56,6.24,-4.11,93.46,90.48,2022
"855","Saint Louis","A-10",22,18,72.1,70,70.6,2.05,3.14,7.36,-5.3,97.74,94.68,2022
"856","Liberty","CUSA",18,16,65.7,66.7,63.1,-0.97,4.12,2.48,-0.71,98.81,96.27,2022
"857","Hawaii","Big West",20,11,59.5,56.3,68.3,3.23,-1.53,-4.68,6.37,90.77,88.29,2022
"858","Boise State","MWC",21,14,64,58.9,69,5.09,-1.96,-1.96,3.49,89.16,87.18,2022
"859","Southern Mississippi","Sun Belt",20,14,67.5,63.5,69.5,3.97,-1.41,-0.99,2.4,90.69,88.78,2022
"860","Purdue Fort Wayne","Horizon",23,13,70.9,63.4,67.6,7.56,-3.19,1.16,0.21,93.12,91.16,2022
"861","Norfolk State","MEAC",27,6,67,53.1,71.2,13.91,-11.3,-2.57,3.86,91.24,89.24,2022
"862","Tulane","AAC",12,20,64.4,65.6,71.2,-1.19,2.48,0.45,0.84,96.41,94.86,2022
"863","Oral Roberts","Summit",21,11,82.1,75.4,70.6,6.72,-0.52,12.34,-11.1,97.63,95.81,2022
"864","Louisiana-Monroe","Sun Belt",21,14,74.2,67.9,68.4,6.31,-2.07,5.07,-3.98,94.84,93.66,2022
"865","San Diego State","MWC",22,13,66.3,64.3,69,1.97,-0.53,1.02,-0.28,92.88,92.21,2022
"866","Lamar","Southland",24,7,66.6,57.6,64.1,9.03,-5.58,-2.4,3.09,93.78,92.18,2022
"867","South Dakota","Summit",23,13,70.9,64.6,67.1,6.25,-1.54,0.54,0.04,93.67,93.06,2022
"868","San Francisco","WCC",14,16,66.8,67.1,70.9,-0.3,1.47,1.11,-0.71,91.23,90.89,2022
"869","New Mexico","MWC",21,11,64.7,60.8,72.8,3.94,-3,-1.85,2.14,88.83,88.42,2022
"870","Montana State","Big Sky",17,16,58.7,58,69.3,0.7,-0.57,-6.16,6.28,84.96,84.96,2022
"871","Vermont","AEC",25,12,59.4,52.8,66.9,6.59,-6.25,-6.38,6.47,93.22,92.18,2022
"872","UAB","AAC",18,14,71.9,69.8,67.9,2.13,-1.78,6.78,-6.71,99.34,99.6,2022
"873","Stephen F. Austin","WAC",22,12,75.6,68.6,72,7,-3.24,5.26,-5.6,93.27,93.56,2022
