"","seed1","team1","seed2","team2","score1","score2","winner","region","year","Conf_team1","W_team1","L_team1","PPG_team1","PPG_Allowed_team1","Pace_team1","MOV_team1","SOS_team1","OSRS_team1","DSRS_team1","Adj_ORtg_team1","Adj_DRtg_team1","Conf_team2","W_team2","L_team2","PPG_team2","PPG_Allowed_team2","Pace_team2","MOV_team2","SOS_team2","OSRS_team2","DSRS_team2","Adj_ORtg_team2","Adj_DRtg_team2"
"87",1,"Iowa",8,"West Virginia",64,54,"Iowa","region2",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.22,77.96,"Big 12",25,8,73.7,57.8,73,15.85,11.67,13.54,13.98,107.92,71.62
"88",5,"Colorado",4,"Kansas State",63,50,"Colorado","region2",2024,"Pac-12",24,10,75.2,64.3,71.5,10.94,17.67,17.75,10.86,113.66,74.97,"Big 12",26,8,71.7,57.9,71.2,13.74,14.42,11.85,16.3,107.44,69.7
"89",11,"Middle Tennessee",3,"LSU",56,83,"LSU","region2",2024,"CUSA",30,5,71.4,55.5,66.4,15.86,0.87,5.38,11.35,106.24,81.67,"SEC",31,6,85.9,63.3,77.9,22.59,11.46,25.71,8.34,116.35,73.54
"90",7,"Creighton",2,"UCLA",63,67,"UCLA","region2",2024,"Big East",26,6,73.4,62.8,67.9,10.59,12.53,14.72,8.4,114.54,82.62,"Pac-12",27,7,77.3,61.1,71.5,16.18,17.82,19.24,14.76,116.39,70.45
"91",1,"Iowa",5,"Colorado",89,68,"Iowa","region2",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.22,77.96,"Pac-12",24,10,75.2,64.3,71.5,10.94,17.67,17.75,10.86,113.66,74.97
"92",3,"LSU",2,"UCLA",78,69,"LSU","region2",2024,"SEC",31,6,85.9,63.3,77.9,22.59,11.46,25.71,8.34,116.35,73.54,"Pac-12",27,7,77.3,61.1,71.5,16.18,17.82,19.24,14.76,116.39,70.45
"93",1,"Iowa",3,"LSU",94,87,"Iowa","region2",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.22,77.96,"SEC",31,6,85.9,63.3,77.9,22.59,11.46,25.71,8.34,116.35,73.54
"94",1,"USC",16,"Texas A&M-Corpus Christi",87,55,"USC","region3",2024,"Pac-12",29,6,74.9,62.5,70.4,12.43,17.78,17.79,12.41,114.99,73.59,"Southland",23,9,66.8,57.9,72.1,8.91,-6.63,-2.48,0.14,86.55,89.75
"95",8,"Kansas",9,"Michigan",81,72,"Kansas","region3",2024,"Big 12",20,13,68.2,64.3,68.9,3.88,16.46,10.53,9.81,108.48,80.56,"Big Ten",20,14,70,64.3,69.4,5.71,13.39,8.68,10.42,105.27,79.94
"96",5,"Baylor",12,"Vanderbilt",80,63,"Baylor","region3",2024,"Big 12",26,8,74.8,60.4,73.9,14.38,13.86,16.15,12.09,109.11,71.39,"SEC",23,10,68.5,62.3,70.6,6.15,10.27,7.31,9.11,101.97,79.97
"97",4,"Virginia Tech",13,"Marshall",92,49,"Virginia Tech","region3",2024,"ACC",25,8,75.2,61.7,68.9,13.48,13.4,15.29,11.59,115.94,79.25,"Sun Belt",26,7,85.3,71.8,80.6,13.48,-0.81,16.8,-7.29,102.19,90.99
"98",6,"Syracuse",11,"Arizona",74,69,"Syracuse","region3",2024,"ACC",24,8,74,65.7,71.7,8.34,11.34,13.2,6.48,108.43,82.4,"Pac-12",18,16,69.9,65.8,70.2,4.09,17.17,12.64,8.61,106.02,77.08
