"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"191","Saint Louis","A-10",15,19,66.1,72.4,73.7,-6.29,1.74,1.86,-6.41,89.45,95.66,2025
"192","Santa Clara","WCC",14,17,62.2,64.5,67.9,-2.32,0.7,-2.82,-1.9,88.85,96.53,2025
"193","Southern","SWAC",21,15,58.8,57.7,68.8,1.14,-3.25,-9.82,5.1,83.79,90.6,2025
"194","Memphis","AAC",7,23,68.9,77.4,75.3,-8.47,3.68,5.02,-9.81,94.48,101.2,2025
"195","Central Michigan","MAC",14,17,64.4,67.1,72.1,-2.68,-1.68,-2.06,-2.76,86.53,93.34,2025
"196","Northern Colorado","Big Sky",14,17,63.7,61.1,68.6,2.61,-1.98,-6.75,1.83,86.45,94.43,2025
"197","Bucknell","Patriot",17,14,60.7,58.7,64.4,2.06,-7,-6.12,1.19,89.08,95.81,2025
"198","Idaho State","Big Sky",14,17,61.9,65,67.3,-3.06,0.27,-4.13,-0.95,88.15,95.73,2025
"199","Nevada","MWC",11,21,62.3,65.8,67.6,-3.41,0.65,-4.62,-0.46,88.2,96.33,2025
"200","FDU","NEC",29,4,67,55.2,64.3,11.79,-15.7,-6.56,1.44,91.82,97.62,2025
"201","East Tennessee State","Southern",17,13,59.9,55.8,65.8,4.03,-6.72,-10.52,5.33,83.84,90.59,2025
"202","Lipscomb","A-Sun",20,12,74.5,68.9,71.7,5.66,-7.34,2.38,-7.85,95.7,103.45,2025
"203","Georgia Southern","Sun Belt",16,18,66.5,65.7,70.9,0.76,-5.4,-2.12,-3.47,88.16,96.05,2025
"204","Xavier","Big East",7,24,51.1,62.5,67.3,-11.32,5.68,-10.73,5.09,80.41,90.31,2025
"205","Louisiana-Monroe","Sun Belt",11,19,67.6,69.9,72.9,-2.33,-0.49,-0.35,-5.35,90.58,98.56,2025
"206","Tennessee-Martin","OVC",13,19,67.4,68.5,72.4,-1.13,-3.12,-0.92,-4.92,89.33,97.18,2025
"207","Eastern Washington","Big Sky",11,20,64.9,66.2,72.7,-1.35,-0.93,-1.98,-3.88,85.01,93.75,2025
"208","Georgia State","Sun Belt",17,16,65.2,67.5,72.3,-2.39,-0.97,-3.77,-2.32,84.28,92.95,2025
"209","Navy","Patriot",19,12,66,61.1,70.8,4.87,-9.2,-3.13,-2.97,84.63,93.62,2025
"210","Valparaiso","MVC",13,19,64.1,67.7,72,-3.66,0.19,-3.42,-2.7,86.73,95.45,2025
"211","Loyola Marymount","WCC",14,16,63.1,64.3,67.3,-1.17,-1.37,-4.49,-1.63,89.62,99.39,2025
"212","Coppin State","MEAC",19,15,63.1,63.5,69.5,-0.44,-5.75,-5.67,-0.59,85.91,94.98,2025
"213","High Point","Big South",21,12,67.1,58.5,70.6,8.64,-12.81,-5.04,-1.45,86.11,95.43,2025
"214","Florida Atlantic","AAC",11,21,60.2,65.8,70.6,-5.63,-0.89,-5.41,-1.1,84.85,94.89,2025
"215","UC Santa Barbara","Big West",18,13,63.1,58.6,65.9,4.42,-8.47,-5.77,-0.74,90.52,99.87,2025
"216","Sacramento State","Big Sky",15,18,63.3,63.5,71.4,-0.27,-4.31,-6.15,-0.38,83.96,93.35,2025
"217","Drexel","CAA",17,13,59.4,59,65.1,0.37,-5.53,-8.01,1.44,86.75,96.18,2025
"218","Nicholls State","Southland",17,14,60.7,59.5,69.5,1.23,-7.32,-7.43,0.85,85.02,94.46,2025
"219","Kennesaw State","CUSA",13,18,62.2,64.5,71.9,-2.26,-1.92,-3.74,-2.98,84.42,94.34,2025
"220","Mount St. Mary's","MAAC",15,16,64,62.9,71,1.03,-7.78,-3.6,-3.15,84.81,94.87,2025
"221","Western Illinois","OVC",17,17,71.6,68.8,72.2,2.74,-6.99,0.72,-7.49,90.85,100.88,2025
"222","North Dakota","Summit",12,19,66.3,70.1,72.8,-3.77,-0.85,-1.17,-5.68,87.15,97.09,2025
"223","Jacksonville State","CUSA",10,20,59.4,60.2,69,-0.87,-2.25,-9.87,3.01,80.61,90.98,2025
"224","Northwestern State","Southland",16,16,62.8,60.5,71.6,2.25,-3.99,-5.6,-1.33,84.11,93.83,2025
"225","Incarnate Word","Southland",18,14,61.2,59.7,68.6,1.53,-3.54,-7.88,0.34,84.82,95.24,2025
"226","Maine","AmEast",15,16,58.3,58.5,62.5,-0.23,-5.47,-8.15,0.54,88.25,100.26,2025
"227","Texas-Rio Grande Valley","Southland",16,16,60.8,60.9,69.3,-0.09,-4.09,-7.36,-0.3,83.85,94.25,2025
"228","Manhattan","MAAC",16,15,61.7,58.9,68.2,2.84,-10.64,-6.82,-0.99,85.21,96.13,2025
"229","UC Riverside","Big West",17,15,58.4,57.6,66.7,0.84,-7.25,-9.58,1.66,83.31,94.47,2025
"230","Maryland-Eastern Shore","MEAC",14,17,61.4,60.8,72,0.55,-5.16,-6.74,-1.2,81.42,92.75,2025
"231","Weber State","Big Sky",13,16,64.4,67.8,70.1,-3.34,-2.57,-2.99,-4.94,88.56,99.85,2025
"232","Appalachian State","Sun Belt",13,17,65.2,68,70.7,-2.77,-1.04,-4.2,-3.77,87.58,99.01,2025
"233","Jacksonville","A-Sun",14,17,68.7,71.9,74,-3.23,-4.02,-0.33,-7.72,87.89,99.15,2025
"234","Charlotte","AAC",11,21,59.1,66.9,69.9,-7.75,-0.57,-5.5,-2.81,85.15,97.38,2025
"235","Denver","Summit",9,21,63.8,67.5,68.1,-3.67,-3.23,-4.78,-3.6,89.1,101.53,2025
"236","Alabama A&M","SWAC",21,11,64,61.1,70.8,2.97,-11.35,-6.27,-2.12,84.51,96.29,2025
"237","George Washington","A-10",13,18,58.3,61.3,67.8,-3.03,-3.57,-8.06,-0.35,82.99,95.17,2025
"238","Little Rock","OVC",14,16,62.1,66,69.8,-3.87,-2.99,-7.37,-1.17,85.23,96.95,2025
