seed1,team1,seed2,team2,score1,score2,winner,region,year,team1_win,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
4,Tennessee,13,Buffalo,80,67,Tennessee,region4,2022,1,-5.700000000000003,-5.499999999999993,-0.6999999999999886,-0.17999999999999972,12.58,2.01,10.389999999999999,1.7999999999999972,-16.39
6,BYU,11,Villanova,57,61,Villanova,region4,2022,0,12.199999999999989,-2.6000000000000014,0.5,14.740000000000002,-1.6800000000000006,11.75,1.299999999999999,10.079999999999998,-7.32
3,Michigan,14,American,74,39,Michigan,region4,2022,1,12.100000000000001,3.799999999999997,2.700000000000003,8.280000000000001,18.29,17.57,9,20.490000000000002,-16.18
7,Ole Miss,10,South Dakota,61,75,South Dakota,region4,2022,0,-2,3.5,3.8000000000000114,-5.42,6.640000000000001,3.2,-1.0399999999999991,2.799999999999997,-1.0799999999999983
2,Baylor,15,Hawaii,89,49,Baylor,region4,2022,1,12.600000000000001,-3.5999999999999943,4.400000000000006,16.209999999999997,11.84,16.69,11.37,22.269999999999996,-17.370000000000005
1,Louisville,9,Gonzaga,68,59,Louisville,region4,2022,1,2.799999999999997,-0.5,5.099999999999994,3.269999999999998,6.130000000000001,7.549999999999999,1.8499999999999996,7.319999999999993,-6.32
12,Belmont,4,Tennessee,67,70,Tennessee,region4,2022,0,-0.5999999999999943,-4.600000000000001,-7.1000000000000085,4.0600000000000005,-15.53,-7.49,-3.969999999999999,-1.9000000000000057,12.5
11,Villanova,3,Michigan,49,64,Michigan,region4,2022,0,-6.599999999999994,0.5,-1.5,-7.000000000000001,-4.989999999999999,-9.370000000000001,-2.619999999999999,-8.659999999999997,7.940000000000005
10,South Dakota,2,Baylor,61,47,South Dakota,region4,2022,1,-7.599999999999994,-7.100000000000001,-5.6000000000000085,-0.509999999999998,-7.369999999999999,-12.49,3.6500000000000004,-13.97999999999999,-1.1000000000000014
1,Louisville,4,Tennessee,76,64,Louisville,region4,2022,1,1.7000000000000028,-5.5,-4.400000000000006,7.149999999999999,-1.299999999999999,1.4699999999999989,4.380000000000001,9.14,0.46000000000000085
3,Michigan,10,South Dakota,52,49,Michigan,region4,2022,1,2.5999999999999943,7.299999999999997,3.3000000000000114,-4.74,8.18,7.120000000000001,-2.7300000000000004,7.989999999999995,1.6400000000000006
1,Louisville,3,Michigan,62,50,Louisville,region4,2022,1,0.29999999999999716,-4.799999999999997,0.09999999999999432,5.089999999999998,1.540000000000001,2.9099999999999984,3.7200000000000006,5,-4.489999999999995
2,UConn,1,Stanford,63,58,UConn,final four,2022,1,0.29999999999999716,-1.8999999999999986,-0.5,2.169999999999998,-4.109999999999998,-2.450000000000001,0.5100000000000016,-1.3800000000000097,0.990000000000002
1,South Carolina,1,Louisville,72,59,South Carolina,final four,2022,1,-0.8999999999999915,-4.899999999999999,-0.5,4.07,4.019999999999998,-0.22999999999999865,8.319999999999999,0.9099999999999966,-11.330000000000002
2,UConn,1,South Carolina,49,64,South Carolina,championship,2022,0,2.8999999999999915,4.199999999999996,0.20000000000000284,-1.3599999999999994,-4.359999999999998,1.1099999999999994,-6.829999999999998,0.7999999999999972,9.739999999999998
1,Louisville,16,Robert Morris,69,34,Louisville,region1,2019,1,15.900000000000006,4.200000000000003,3,11.6,24.17,28.25,7.9399999999999995,37.04,-12.07
8,Michigan,9,Kansas State,84,54,Michigan,region1,2019,1,7.200000000000003,-0.8000000000000043,1.5,8.03,-4.84,5.449999999999999,-2.2700000000000005,4.659999999999997,0.5
5,Gonzaga,12,Little Rock,68,51,Gonzaga,region1,2019,1,12.000000000000007,2.1000000000000014,1.6000000000000085,9.940000000000001,5.09,13.620000000000001,1.4100000000000001,12.849999999999994,-5.939999999999998
4,Oregon State,13,Boise State,80,75,Oregon State,region1,2019,1,0,-2.6999999999999957,-3,2.639999999999999,11.43,5.390000000000001,11.58,19.739999999999995,-5.799999999999997
6,UCLA,11,Tennessee,89,77,UCLA,region1,2019,1,-0.8999999999999915,-0.29999999999999716,-4.099999999999994,-0.5600000000000005,5.51,0.6399999999999988,4.33,5.519999999999996,-1.2999999999999972
3,Maryland,14,Radford,73,51,Maryland,region1,2019,1,11.5,6.100000000000001,3.700000000000003,5.459999999999999,16.4,18.86,3.170000000000001,25.249999999999993,-3.489999999999995
7,Rutgers,10,Buffalo,71,82,Buffalo,region1,2019,0,-12,-9,-6.900000000000006,-2.9699999999999998,4.119999999999999,-10.66,11.8,-4.670000000000002,-7.009999999999998
2,UConn,15,Towson,110,61,UConn,region1,2019,1,15.599999999999994,-10.600000000000001,-3.700000000000003,26.240000000000002,13.61,20.02,19.85,32.73,-20.990000000000002
1,Louisville,8,Michigan,71,50,Louisville,region1,2019,1,6.200000000000003,-4.100000000000001,-1,10.27,4.1,7.809999999999999,6.569999999999999,13.299999999999997,-6.960000000000001
5,Gonzaga,4,Oregon State,70,76,Oregon State,region1,2019,0,-1.6999999999999886,-2.3000000000000043,-0.5,0.620000000000001,-7.75,-5.619999999999999,-1.5199999999999996,-9.650000000000006,0.21999999999999886
