"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"120","Cornell","Ivy",22,8,82.1,74.7,71.9,7.4,-1.59,8.15,-4.56,111.39,106.64,2024
"121","Oregon State","Pac-12",13,19,68.9,72.7,66.2,-3.81,8.38,-0.17,3.45,106.8,103.14,2024
"122","Missouri","SEC",8,24,72.2,76.2,68.4,-4.03,7.3,1.44,1.83,108.69,104.15,2024
"123","Belmont","MVC",20,13,77.9,75.5,72,2.33,1.44,5.41,-2.63,108.35,104.36,2024
"124","Vermont","AmEast",28,7,71.6,63,65.4,8.6,-3.31,-5.3,8.08,104.97,100.48,2024
"125","Akron","MAC",24,11,73.6,66.2,66.9,7.46,-2.08,-2.24,5,105.6,101.54,2024
"126","UT Arlington","WAC",20,14,76.9,73.3,71.9,3.59,0.69,4.57,-2.19,107.74,103.92,2024
"127","Hofstra","CAA",20,13,74.2,68.5,66.6,5.76,-1.98,-1.09,3.4,106.49,102.72,2024
"128","High Point","Big South",27,9,83.9,74.4,69.3,9.44,-4.83,7.5,-5.35,113.17,109.84,2024
"129","UC-San Diego","Big West",21,12,76.7,69.4,66.9,7.27,-2.8,1.32,0.72,109.65,106.75,2024
"130","Oakland","Horizon",24,12,76.4,73.2,68,3.25,-1.24,1.43,0.58,108.08,105.28,2024
"131","Wichita State","AAC",15,19,72.8,73.1,69.5,-0.26,3.2,-0.04,2.06,104.01,101.02,2024
"132","Western Carolina","Southern",22,10,76.8,68.7,68.6,8.16,-3.35,0.37,1.59,106.55,103.55,2024
"133","Toledo","MAC",20,12,80,76.1,70.2,3.88,-2.09,6.31,-4.53,111.27,108.66,2024
"134","Liberty","CUSA",18,14,73.8,65.5,66,8.31,-1.56,-1.01,2.59,109.29,106.3,2024
"135","Tarleton State","WAC",25,10,74.1,68.6,68.4,5.46,-0.97,0.19,1.22,107.74,105.51,2024
"136","Troy","Sun Belt",20,12,79.6,70.7,71.2,8.91,-3.17,2.96,-1.72,104.87,103.03,2024
"137","UNC Wilmington","CAA",21,10,79.4,71,66.6,8.35,-2.9,2.08,-0.87,110.78,108.38,2024
"138","Western Kentucky","CUSA",22,12,80.2,74.4,76,5.79,-2.91,5.91,-4.72,103.19,101.76,2024
"139","Drexel","CAA",20,12,73.3,66.6,65.7,6.75,-3.64,-2.8,3.93,105.36,102.97,2024
"140","Missouri State","MVC",17,16,71.2,71.3,68.4,-0.03,1.01,-0.47,1.45,103.11,101.93,2024
"141","Youngstown State","Horizon",22,10,81.2,70.9,70.8,10.28,-5.11,2.07,-1.1,105.18,104.01,2024
"142","Georgetown","Big East",9,23,70.8,77.9,67.4,-7.03,7.72,2.69,-2.01,110.06,109.86,2024
"143","Wyoming","MWC",15,17,72.8,74.5,67.9,-1.63,4.57,1.15,-0.61,107.01,106.15,2024
"144","South Dakota State","Summit",22,13,76.4,71.1,68.6,5.29,-2.7,1.36,-0.84,107.29,105.79,2024
