seed1,team1,seed2,team2,score1,score2,winner,region,year,team1_win,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
1,UNC,9,Washington,81,59,UNC,region2,2019,1,16,8.400000000000006,8.5,7.58,4.34,18.59,-6.669999999999999,12.629999999999995,-2.0700000000000074
5,Auburn,4,Kansas,89,75,Auburn,region2,2019,1,4,-1.2999999999999972,-1.0999999999999943,5.39,-1.8699999999999992,2.2399999999999984,0.25,5.760000000000005,2.4399999999999977
11,Ohio State,3,Houston,59,74,Houston,region2,2019,0,-6.200000000000003,5.200000000000003,-0.5999999999999943,-11.41,6.39,-3.4699999999999998,-1.5600000000000005,-5.4199999999999875,2.309999999999988
7,Wofford,2,Kentucky,56,62,Kentucky,region2,2019,0,6.5,0.8999999999999915,1.2000000000000028,5.550000000000001,-9.489999999999998,-0.6400000000000006,-6.859999999999999,-1.0699999999999932,9.740000000000009
1,UNC,5,Auburn,80,97,Auburn,region2,2019,0,6.099999999999994,4.400000000000006,6.700000000000003,1.6300000000000008,0.4299999999999997,6.6899999999999995,-3.5999999999999996,-0.6899999999999977,-3.4000000000000057
3,Houston,2,Kentucky,58,62,Kentucky,region2,2019,0,-0.5,-3.700000000000003,0,3.16,-5.679999999999999,-2.000000000000001,-0.5199999999999996,-3.25,0.960000000000008
5,Auburn,2,Kentucky,77,71,Auburn,region2,2019,1,3.9000000000000057,4.099999999999994,1.9000000000000057,-0.19000000000000128,0.6300000000000008,4.809999999999999,-5.3999999999999995,1.980000000000004,4.340000000000003
1,Virginia,16,Gardner-Webb,71,56,Virginia,region3,2019,1,-6.299999999999997,-14.399999999999999,-7.700000000000003,8.18,14.58,3.89,24.18,20.710000000000008,-21.819999999999993
8,Ole Miss,9,Oklahoma,72,95,Oklahoma,region3,2019,0,4,2.8999999999999915,-0.09999999999999432,1.0899999999999999,-4.08,0.8499999999999996,-3.83,1.9000000000000057,5.269999999999996
5,Wisconsin,12,Oregon,54,72,Oregon,region3,2019,0,-1.4000000000000057,-0.5,-0.7000000000000028,-0.9400000000000004,4.88,2.09,1.8600000000000012,2.280000000000001,-3.1199999999999903
4,Kansas State,13,UC-Irvine,64,70,UC-Irvine,region3,2019,0,-6.5,-4,-1.2999999999999972,-2.4899999999999993,11.48,-1.14,10.82,3.3499999999999943,-10.379999999999995
6,Villanova,11,Saint Mary's,61,57,Villanova,region3,2019,1,1.2999999999999972,3.1000000000000085,0.7000000000000028,-1.8199999999999994,3.5699999999999994,2.8599999999999994,-1.1099999999999994,2.0799999999999983,0.6500000000000057
3,Purdue,14,Old Dominion,61,48,Purdue,region3,2019,1,11,6.5,0.5,4.51,13.17,18.13,-0.47000000000000064,23.22,-2.0999999999999943
7,Cincinnati,10,Iowa,72,79,Iowa,region3,2019,0,-6.599999999999994,-11.200000000000003,-5.200000000000003,4.6,-4.34,-9.95,10.23,-5.719999999999999,-6.650000000000006
2,Tennessee,15,Colgate,77,70,Tennessee,region3,2019,1,6.299999999999997,-0.5,1.6000000000000085,6.870000000000001,13.99,12.87,7.45,15.629999999999995,-13.040000000000006
1,Virginia,9,Oklahoma,63,51,Virginia,region3,2019,1,0.10000000000000853,-12.100000000000001,-8.5,12.23,-2.0600000000000005,-1.8200000000000003,11.979999999999999,13.340000000000003,-4.739999999999995
12,Oregon,13,UC-Irvine,73,54,Oregon,region3,2019,1,-2.299999999999997,-1.3999999999999986,-0.7000000000000028,-0.879999999999999,8.43,0.98,7.27,4.579999999999998,-7.290000000000006
6,Villanova,3,Purdue,61,87,Purdue,region3,2019,0,-3,0.10000000000000853,-1.0999999999999943,-3.0599999999999996,-4.0200000000000005,-7.27,0.20000000000000107,-6.299999999999997,4.5
10,Iowa,2,Tennessee,77,83,Tennessee,region3,2019,0,-3.700000000000003,4.200000000000003,0.7999999999999972,-7.870000000000001,-0.3200000000000003,-2.0999999999999996,-5.19,-4.019999999999996,6.150000000000006
1,Virginia,12,Oregon,53,49,Virginia,region3,2019,1,1.4000000000000057,-6.100000000000001,-4.700000000000003,7.5,4.0200000000000005,4.4,7.109999999999999,14.590000000000003,-3.7299999999999898
3,Purdue,2,Tennessee,99,94,Purdue,region3,2019,1,-5.299999999999997,-2.4000000000000057,-3.3000000000000114,-2.880000000000001,1.83,-2.4000000000000004,2.249999999999999,0.46999999999999886,-0.4200000000000017
1,Virginia,3,Purdue,80,75,Virginia,region3,2019,1,-5.299999999999997,-11.199999999999996,-5.299999999999997,5.9,-1.8399999999999999,-7.209999999999999,11.27,1.1200000000000045,-6.599999999999994
1,Gonzaga,16,FDU,87,49,Gonzaga,region4,2019,1,12.699999999999989,-7,3,19.78,12.25,19.27,14.61,22.08,-24.570000000000007
8,Syracuse,9,Baylor,69,78,Baylor,region4,2019,0,-2.0999999999999943,-1.6000000000000085,0.7000000000000028,-0.4700000000000002,0.8300000000000001,-1.8600000000000003,2.219999999999999,-3.469999999999999,-4.13000000000001
5,Marquette,12,Murray State,64,83,Murray State,region4,2019,0,-5.299999999999997,1.2000000000000028,-1.0999999999999943,-6.48,10.07,2.37,3.45,1.4500000000000028,-6.140000000000001
